Wavelength / nm	385 nm 0,1 A	405nm, 36mA	415 nm, 25 mA	450 nm, 30 mA
255.0	0.0001692797203140584	3.097041001828196e-05	0.00018071313295200614	-0.00012373934528221977
256.0	0.0001692797203140584	-0.00013067440658278204	9.74297997551761e-05	-2.6749251935027755e-05
257.0	0.00017259411657836253	-0.00017419416489844802	-0.0005889397393497485	-6.831643479811146e-05
258.0	0.00013613575767098884	-0.0003078619940108658	-3.754663680520701e-05	4.4261352122850165e-06
259.0	2.01318884202407e-05	-0.00022082247737952504	-0.00024144721118366088	0.00021226204952769367
260.0	0.00019579489042851028	9.210530860448966e-06	-9.785525739601892e-05	-0.0001445229367137616
261.0	-0.0003775956632966222	-5.296055244765665e-05	-6.339318848698354e-05	-0.00012720327718747346
262.0	-0.00016878869864527364	-0.00018973693572547662	-0.0002730374410169379	-0.0001479868686190153
263.0	-0.00020856145381696088	-0.0003607074148227472	-0.00013231732630504612	1.8281862833309632e-05
264.0	-0.0005101715138689098	-0.00021771392321412285	-0.00010359893554751937	-0.00019648191529261623
265.0	-0.0002649061903101782	-0.00011513163575575343	-0.00019836962504736665	-0.00014105900480850791
266.0	-0.0003477660969178568	-0.00011202308159035124	-0.00034483341791075885	-9.2563958134907e-05
267.0	-0.00045714117363999663	-0.00030475343984546365	-0.00011221445277477822	-0.0003904621019870003
268.0	-8.592879203759505e-05	-4.363488995144125e-05	-0.00020124146412311687	-0.00030039987245031563
269.0	-9.697677958524722e-06	0.0017904120676375198	0.0009733407178597953	0.0016740413135460813
270.0	0.00039797306255125056	-0.000195954044056281	-0.00013231732630504612	-9.60278900401607e-05
271.0	-0.00018867507623111725	9.935860165719194e-05	0.00015486658127023778	2.8673658549080558e-05
272.0	-0.0002781637753674041	0.0003356087182279703	1.1274627482595825e-05	0.000364675053358994
273.0	5.659024732761438e-05	-0.0003202962106724834	1.4146466558346053e-05	-3.367711574554499e-05
274.0	-0.0001257015472092823	-0.000195954044056281	2.659110255336981e-06	-0.00025883268958723195
275.0	0.0002919123820934242	-3.2236858011774587e-06	4.8608535467381426e-05	-7.524429860861884e-05
276.0	-1.6326470487142402e-05	0.00018950667245393494	0.00011753267328544401	0.00026075709620129457
277.0	-0.0001919894724954214	-5.296055244765665e-05	-2.1272882042140816e-07	-7.524429860861884e-05
278.0	-0.00011575835841636047	-0.00011513163575575343	-0.0003563207742137679	-0.00010641968575593161
279.0	7.6476624913458e-05	2.1644747522066553e-05	0.0002783556615276037	0.00029539641525386104
280.0	-0.00020524705755264734	-0.00021149681488330963	0.00014912290311872917	-3.367711574554499e-05
281.0	6.984783238484032e-05	-0.00015243428574061505	-1.1700085123430479e-05	6.677690950691057e-05
282.0	-0.0002483342089886387	-2.8092119124412637e-05	-0.00017826675151709875	-0.00019648191529261623
283.0	6.321903985623206e-05	-0.00018351982739466343	-0.00024719088933516134	-6.485250289284791e-05
284.0	0.00015602213525683247	7.759872249935896e-05	0.00022379071908830038	0.0002503653004855237
285.0	6.321903985623206e-05	-8.404609410170504e-05	0.0001720976157247473	-0.00010988361766119514
286.0	-0.0003046789454818654	0.0003262830557317549	0.00033579244304266534	6.677690950691057e-05
287.0	4.333266227038844e-05	7.449016833394794e-05	6.583956992189912e-05	7.024084141216426e-05
288.0	1.0188699627318893e-05	-3.7417781620628034e-05	-0.00014380468260806337	-0.00022072943862941178
289.0	0.00013945015393529298	-7.472043160548965e-05	-5.956406971921863e-06	-9.429592408739601e-06
290.0	4.664705853469257e-05	-3.430922745522585e-05	-1.1700085123430479e-05	-7.524429860861884e-05
291.0	-9.587198083051687e-05	7.449016833394794e-05	1.4146466558346053e-05	0.0002295817090539818
292.0	3.5599070987012142e-06	-0.00023014813987574042	-4.329031495671563e-05	-0.0002034097791031236
293.0	0.00039465866628694645	-1.5657902462795048e-05	-0.00030175583177446464	4.4261352122850165e-06
294.0	0.00022231006054297157	7.449016833394794e-05	-0.0004022701994258205	-0.00013759507290324438
295.0	0.0002455108343931193	-0.0002519080190335734	-0.0003792954868197942	-6.831643479811146e-05
296.0	-9.9186377094821e-05	4.029607251449736e-05	-0.0003477052569865091	0.00026075709620129457
297.0	1.3503095891623022e-05	-0.0002487994648681712	-6.052134941122515e-05	-5.792463908234053e-05
298.0	-0.0001257015472092823	0.00012422703498043595	0.0003243050867396481	9.622033070313232e-07
299.0	5.990464359191851e-05	-0.0003171876565070812	-0.00022421617672914318	-9.60278900401607e-05
300.0	-6.272801818743788e-05	-0.00012134874408656664	0.00010030163883092632	-9.429592408739601e-06
301.0	-0.00029142136042463945	0.00013976980580745574	0.00043056313254250444	8.409656903318887e-05
302.0	-0.0002881069641603259	-3.1200673289814824e-05	2.5633822861355124e-05	2.5209726643826865e-05
303.0	0.000364829099908181	1.2319085025851153e-05	0.0002898430178306209	-3.021318384028145e-05
304.0	-3.6212848072986015e-05	-4.363488995144125e-05	-0.00027878111916844646	-5.09967752718233e-05
305.0	0.00045431779904446783	3.097041001828196e-05	0.00033579244304266534	-5.09967752718233e-05
306.0	-8.924318830189918e-05	-0.00017108561073304583	0.0003271769258154065	-0.00025190482577672457
307.0	-0.00033450851186063083	-0.00014621717740980183	-0.00027016560194118765	-0.0003869981700817367
308.0	0.0001427645501995971	-1.5657902462795048e-05	-0.0003276023834562411	2.5209726643826865e-05
309.0	-0.0001290159434735864	8.381583083016333e-05	-0.00010072709647176914	4.5993318075368715e-05
310.0	-3.952724433729014e-05	8.381583083016333e-05	-0.00040801387757732096	-2.6749251935027755e-05
311.0	0.0003548859111152592	-9.337175659792043e-05	-4.903399310821608e-05	-0.00021033764291364087
312.0	0.00037808668496540696	2.1644747522066553e-05	0.00015486658127023778	8.063263712793518e-05
313.0	-0.0002019326612883432	-0.00013067440658278204	-3.0845678961716352e-06	0.00016030307094883902
314.0	-0.00016878869864527364	-9.958886492872482e-05	-8.636790109300168e-05	1.1353999022802248e-05
315.0	-0.0001853606799668037	-0.0004228784981308528	-0.0005544776704407132	-0.00019648191529261623
316.0	0.00017590851284267608	0.00010246715582259413	9.74297997551761e-05	-0.00015491473242953255
317.0	-0.00011244396215204693	0.00023302643076960974	0.0001347637077399617	0.00012219981999101888
318.0	0.00010299179502791929	0.00021437510577717895	3.4249340088613965e-05	-5.09967752718233e-05
319.0	0.0002919123820934242	0.00013666125164205355	0.00022379071908830038	-3.021318384028145e-05
320.0	-0.00013233033973789055	9.003293916097655e-05	0.00019794416740652384	-6.831643479811146e-05
